epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,695.902,0.59127,0.44298,0.02395,0.9091,0.88769,0.91263,0.29505,0.72922,0.46337,0.03101,0.00176806,0.00176806,0.00176806
43,712.38,0.58798,0.43508,0.02491,0.91682,0.89705,0.92615,0.35753,0.65084,0.4502,0.02411,0.0017624,0.0017624,0.0017624
44,728.914,0.61616,0.44112,0.02342,0.88487,0.87545,0.89377,0.3456,0.66497,0.45815,0.02664,0.00175674,0.00175674,0.00175674
45,745.442,0.59853,0.44337,0.02335,0.9235,0.91361,0.94017,0.39648,0.61718,0.45045,0.02408,0.00175109,0.00175109,0.00175109
46,762.024,0.57643,0.44066,0.02312,0.9147,0.90065,0.93432,0.47103,0.5712,0.44508,0.02022,0.00174543,0.00174543,0.00174543
47,778.628,0.60667,0.45101,0.02451,0.8788,0.86681,0.87836,0.33806,0.67625,0.44633,0.02744,0.00173977,0.00173977,0.00173977
48,795.147,0.6066,0.44438,0.02685,0.92066,0.91899,0.94505,0.53583,0.49741,0.43433,0.01605,0.00173411,0.00173411,0.00173411
49,811.809,0.58994,0.4366,0.02408,0.92063,0.92513,0.9412,0.5065,0.52902,0.43743,0.02054,0.00172846,0.00172846,0.00172846
50,828.374,0.58925,0.44543,0.02536,0.91952,0.89663,0.91883,0.35195,0.67139,0.44,0.02711,0.0017228,0.0017228,0.0017228
51,844.83,0.56446,0.44335,0.02289,0.91127,0.89472,0.92084,0.31757,0.71553,0.47369,0.02937,0.00171714,0.00171714,0.00171714
52,861.285,0.5575,0.44601,0.0188,0.87273,0.85529,0.87965,0.23974,0.78466,0.44024,0.03199,0.00171149,0.00171149,0.00171149
53,877.846,0.56942,0.43572,0.02258,0.9136,0.90137,0.92674,0.37151,0.65701,0.46553,0.02785,0.00170583,0.00170583,0.00170583
54,894.3,0.59073,0.43816,0.02221,0.86221,0.8424,0.85773,0.23436,0.7994,0.44042,0.03443,0.00170017,0.00170017,0.00170017
55,910.614,0.55822,0.4402,0.02442,0.90549,0.89345,0.91348,0.30273,0.7339,0.45785,0.03038,0.00169451,0.00169451,0.00169451
56,927.145,0.5724,0.44418,0.01906,0.92486,0.90425,0.93407,0.4056,0.62474,0.44579,0.02425,0.00168886,0.00168886,0.00168886
57,943.658,0.58963,0.43988,0.02258,0.92527,0.93602,0.95158,0.54799,0.4823,0.43179,0.015,0.0016832,0.0016832,0.0016832
58,960.183,0.55076,0.4361,0.02079,0.88282,0.88049,0.89583,0.25991,0.77165,0.45773,0.03428,0.00167754,0.00167754,0.00167754
59,976.628,0.58961,0.43747,0.02628,0.91666,0.89489,0.92758,0.30978,0.73775,0.45444,0.03301,0.00167189,0.00167189,0.00167189
60,993.059,0.56368,0.43703,0.02195,0.92386,0.91433,0.94063,0.42261,0.6131,0.45358,0.02375,0.00166623,0.00166623,0.00166623
61,1009.5,0.53693,0.43563,0.01837,0.91918,0.90713,0.94281,0.37096,0.65012,0.45435,0.02692,0.00166057,0.00166057,0.00166057
62,1026.17,0.5401,0.44068,0.01772,0.93021,0.92441,0.95145,0.40754,0.60924,0.45978,0.02448,0.00165491,0.00165491,0.00165491
63,1042.53,0.51246,0.42808,0.01673,0.93125,0.9264,0.95134,0.45411,0.56054,0.45923,0.02177,0.00164926,0.00164926,0.00164926
64,1058.91,0.50538,0.4245,0.01874,0.94033,0.90641,0.94789,0.41319,0.6142,0.44986,0.02677,0.0016436,0.0016436,0.0016436
65,1075.38,0.52894,0.42997,0.02006,0.92332,0.91001,0.93576,0.37573,0.65605,0.46886,0.0282,0.00163794,0.00163794,0.00163794
66,1091.82,0.50502,0.42884,0.01752,0.92774,0.92657,0.95122,0.46761,0.54794,0.4507,0.02264,0.00163229,0.00163229,0.00163229
67,1108.21,0.50097,0.42839,0.01716,0.92845,0.90713,0.9436,0.4492,0.58285,0.45375,0.02522,0.00162663,0.00162663,0.00162663
68,1124.73,0.51545,0.42767,0.02127,0.92932,0.91865,0.95385,0.52426,0.51299,0.44419,0.01975,0.00162097,0.00162097,0.00162097
69,1141.2,0.51097,0.43053,0.02286,0.6836,0.66108,0.59588,0.09021,0.95275,0.46117,0.04187,0.00161531,0.00161531,0.00161531
70,1157.66,0.60976,0.44448,0.02311,0.90325,0.91408,0.93374,0.34062,0.67724,0.45582,0.02824,0.00160966,0.00160966,0.00160966
71,1174.11,0.53638,0.44212,0.01964,0.7309,0.72642,0.68677,0.1078,0.933,0.47171,0.04152,0.001604,0.001604,0.001604
72,1190.65,0.68438,0.45889,0.03176,0.90438,0.86969,0.92147,0.32079,0.72946,0.4606,0.03511,0.00159834,0.00159834,0.00159834
73,1207.12,0.58634,0.44624,0.02823,0.91073,0.93665,0.94755,0.52217,0.50391,0.44502,0.01603,0.00159269,0.00159269,0.00159269
74,1223.78,0.60206,0.45002,0.02359,nan,0.95824,0.93518,0.40812,nan,nan,nan,0.00158703,0.00158703,0.00158703
75,1240.24,0.55325,0.44824,0.02153,0.90647,0.89705,0.92724,0.33481,0.68684,0.46714,0.02757,0.00158137,0.00158137,0.00158137
76,1256.69,0.53771,0.4409,0.01884,0.92778,0.90638,0.94219,0.41422,0.62379,0.45919,0.02613,0.00157571,0.00157571,0.00157571
77,1273.23,0.54242,0.43601,0.01959,nan,0.90569,0.88355,0.4363,nan,nan,nan,0.00157006,0.00157006,0.00157006
78,1289.77,0.51964,0.43536,0.02074,0.93273,0.89848,0.94541,0.45092,0.57428,0.45822,0.02297,0.0015644,0.0015644,0.0015644
79,1306.17,0.51804,0.43108,0.02221,0.91475,0.90353,0.94075,0.44643,0.581,0.46315,0.02307,0.00155874,0.00155874,0.00155874
80,1322.71,0.57139,0.43561,0.02181,0.93208,0.91882,0.94796,0.51907,0.5071,0.44851,0.01947,0.00155309,0.00155309,0.00155309
81,1339.35,0.54199,0.43656,0.02016,0.91653,0.92513,0.94787,0.53203,0.49802,0.43778,0.01764,0.00154743,0.00154743,0.00154743
82,1355.82,0.54885,0.43593,0.02006,0.93173,0.92081,0.94754,0.5458,0.49101,0.4321,0.01708,0.00154177,0.00154177,0.00154177
83,1372.27,0.53263,0.42649,0.02359,0.93601,0.92801,0.95912,0.51584,0.50658,0.44317,0.01941,0.00153611,0.00153611,0.00153611
84,1388.72,0.54737,0.44016,0.01876,0.91354,0.90518,0.93583,0.46393,0.57072,0.45422,0.02393,0.00153046,0.00153046,0.00153046
85,1405.27,0.5726,0.44226,0.02341,0.91019,0.90475,0.93422,0.44462,0.5887,0.45026,0.02171,0.0015248,0.0015248,0.0015248
86,1421.74,0.56655,0.44239,0.02072,0.92355,0.92186,0.94766,0.50522,0.52084,0.44251,0.01866,0.00151914,0.00151914,0.00151914
