epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,18.178,1.35718,2.98026,0.27364,0.8209,0.76092,0.80097,0.30118,0.64716,0.50625,0.02952,0.00066055,0.00066055,0.00066055
2,36.4281,0.93901,0.44418,0.049,0.83489,0.77693,0.82759,0.32858,0.608,0.44384,0.024,0.00132196,0.00132196,0.00132196
3,55.0553,0.87827,0.58015,0.04074,0.81083,0.75,0.74871,0.28401,0.66813,0.54737,0.03142,0.00197809,0.00197809,0.00197809
4,73.5247,0.95521,0.46867,0.0592,0.5534,0.52276,0.42282,0.08299,0.88055,0.42636,0.04332,0.00197624,0.00197624,0.00197624
5,91.913,0.92938,0.45554,0.04929,0.77726,0.76367,0.75843,0.19865,0.71279,0.52264,0.03229,0.00196832,0.00196832,0.00196832
6,110.191,0.88773,0.4382,0.04113,0.82723,0.79167,0.81483,0.27426,0.64038,0.46167,0.02704,0.0019604,0.0019604,0.0019604
7,128.512,0.79322,0.45371,0.03605,0.83225,0.75582,0.78656,0.22428,0.6791,0.45673,0.02775,0.00195248,0.00195248,0.00195248
8,146.528,0.80855,0.44117,0.03454,0.74336,0.69922,0.68033,0.16754,0.74681,0.5198,0.03173,0.00194456,0.00194456,0.00194456
9,164.465,0.78282,0.44212,0.03114,0.78738,0.75456,0.75563,0.20707,0.70154,0.44433,0.0359,0.00193664,0.00193664,0.00193664
10,182.479,0.85181,0.42734,0.03804,0.89185,0.8763,0.90344,0.39233,0.53508,0.42868,0.02005,0.00192872,0.00192872,0.00192872
11,200.661,0.77195,0.44127,0.03332,0.84259,0.82245,0.84264,0.28121,0.64852,0.40399,0.04105,0.0019208,0.0019208,0.0019208
12,218.967,0.81503,0.45124,0.03686,0.87845,0.86573,0.88109,0.41195,0.54351,0.42568,0.0328,0.00191288,0.00191288,0.00191288
13,237.5,0.79162,0.4538,0.03665,0.88466,0.85482,0.88141,0.38929,0.55308,0.40012,0.02175,0.00190496,0.00190496,0.00190496
14,255.706,0.82235,0.4522,0.03531,0.84205,0.81566,0.85323,0.31609,0.63453,0.40601,0.02771,0.00189704,0.00189704,0.00189704
15,273.878,0.78415,0.44924,0.03281,0.74781,0.67376,0.68005,0.1783,0.72486,0.40242,0.02981,0.00188912,0.00188912,0.00188912
16,292.048,0.78285,0.45152,0.0323,0.83661,0.8234,0.84391,0.31297,0.60722,0.41848,0.02307,0.0018812,0.0018812,0.0018812
17,310.148,0.79099,0.44759,0.03092,0.90804,0.87305,0.9187,0.45678,0.47739,0.41981,0.01737,0.00187328,0.00187328,0.00187328
18,328.46,0.82945,0.44187,0.03149,0.84272,0.80794,0.82214,0.23949,0.6449,0.39905,0.02631,0.00186536,0.00186536,0.00186536
19,346.507,0.74395,0.44077,0.03381,0.87384,0.83333,0.86402,0.31672,0.56736,0.44183,0.02361,0.00185744,0.00185744,0.00185744
20,364.508,0.73331,0.4355,0.03639,0.74376,0.71029,0.68693,0.15009,0.7369,0.39521,0.03143,0.00184952,0.00184952,0.00184952
