epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1571,1.28226,2.90176,0.24621,0.80152,0.70768,0.73658,0.28226,0.72121,0.47949,0.07227,0.00066055,0.00066055,0.00066055
2,47.9411,0.88213,0.46312,0.05361,0.83196,0.79167,0.8297,0.30738,0.64077,0.4366,0.03418,0.00132346,0.00132346,0.00132346
3,71.7377,0.75202,0.5237,0.04451,0.83728,0.75651,0.78242,0.23425,0.68293,0.41687,0.02456,0.0019826,0.0019826,0.0019826
4,95.4179,0.94512,0.45117,0.05216,0.85736,0.82176,0.84518,0.29854,0.63584,0.51231,0.02684,0.00198303,0.00198303,0.00198303
5,119.103,0.86766,0.45484,0.05079,0.83326,0.82552,0.83882,0.28194,0.64839,0.42393,0.02532,0.00197737,0.00197737,0.00197737
6,142.862,0.79167,0.45856,0.04145,0.815,0.80599,0.79241,0.24897,0.6588,0.41467,0.02691,0.00197171,0.00197171,0.00197171
7,166.514,0.74581,0.47761,0.03816,0.82782,0.77628,0.80466,0.24491,0.66311,0.40776,0.02641,0.00196606,0.00196606,0.00196606
8,190.29,0.74158,0.45305,0.03311,0.8517,0.84126,0.87616,0.34479,0.57355,0.43787,0.02232,0.0019604,0.0019604,0.0019604
9,214.204,0.69297,0.45897,0.02702,0.89466,0.88802,0.91273,0.38987,0.5313,0.43857,0.02249,0.00195474,0.00195474,0.00195474
10,238.167,0.68675,0.45583,0.03223,0.86601,0.83268,0.85372,0.33933,0.56703,0.43637,0.02447,0.00194909,0.00194909,0.00194909
11,261.83,0.63994,0.46452,0.02582,0.91856,0.9032,0.93508,0.40628,0.51983,0.41049,0.02165,0.00194343,0.00194343,0.00194343
12,285.708,0.66773,0.46213,0.02692,0.78936,0.77097,0.74589,0.18714,0.69558,0.42969,0.03099,0.00193777,0.00193777,0.00193777
13,309.54,0.65905,0.45826,0.02525,0.88835,0.88063,0.91915,0.39308,0.52634,0.40636,0.02151,0.00193211,0.00193211,0.00193211
