epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9385,3.16681,2.41438,0.88581,0,0,0,0,4.61275,inf,1.10719,0.000657895,0.000657895,0.000657895
2,21.3725,2.59768,1.12325,0.83546,0.0102,0.10943,0.00566,0.0016,3.56779,inf,0.9526,0.00132081,0.00132081,0.00132081
3,31.8939,2.7864,1.24611,0.83503,0.059,0.16199,0.02993,0.00733,4.11128,27.4771,1.00343,0.00197996,0.00197996,0.00197996
4,42.5465,2.45388,1.34944,0.82814,0,0,0,0,3.27558,inf,0.95922,0.00198303,0.00198303,0.00198303
5,52.5989,2.35758,1.09102,0.81518,0.74819,0.6118,0.65603,0.21321,2.60929,1.38143,0.9135,0.00197737,0.00197737,0.00197737
6,63.0056,2.45665,1.16966,0.81738,0.4785,0.42212,0.36842,0.10526,2.90793,1.68355,0.92477,0.00197171,0.00197171,0.00197171
7,73.1487,2.36624,1.0298,0.81774,0.61595,0.54501,0.547,0.16127,2.79201,1.11895,0.91427,0.00196606,0.00196606,0.00196606
8,83.3375,2.44301,1.07837,0.82593,0.74935,0.72786,0.77244,0.31433,2.11195,0.93235,0.9011,0.0019604,0.0019604,0.0019604
9,93.6364,2.2866,1.04029,0.81785,0.71161,0.57559,0.65825,0.21552,2.37591,1.18043,0.90081,0.00195474,0.00195474,0.00195474
10,103.79,2.27601,0.97183,0.81189,0.66742,0.60259,0.6117,0.17092,2.98112,0.99681,0.91931,0.00194909,0.00194909,0.00194909
11,113.905,2.26557,0.95443,0.81038,0.70506,0.44919,0.45803,0.11472,2.75461,3.14609,0.90936,0.00194343,0.00194343,0.00194343
12,124.088,2.08167,0.88722,0.80418,0.72304,0.51311,0.5448,0.13753,2.92591,1.10576,0.91924,0.00193777,0.00193777,0.00193777
13,134.348,2.17852,0.92938,0.8063,0.2554,0.45932,0.22658,0.04994,3.79113,1.64734,0.96425,0.00193211,0.00193211,0.00193211
14,144.546,2.27585,1.0217,0.80946,0.60005,0.52772,0.56236,0.16945,2.50338,1.48806,0.90257,0.00192646,0.00192646,0.00192646
15,154.704,2.20429,0.92531,0.80884,0.8469,0.61627,0.66057,0.2047,2.42333,1.84494,0.89913,0.0019208,0.0019208,0.0019208
16,164.879,2.19274,0.91431,0.80621,0.58238,0.59938,0.52494,0.14505,2.82205,1.31919,0.92355,0.00191514,0.00191514,0.00191514
17,175.058,2.10416,0.88011,0.80358,0.73592,0.75237,0.78185,0.27533,2.36471,0.97124,0.9025,0.00190949,0.00190949,0.00190949
18,185.224,2.139,0.90893,0.80666,0.80304,0.71621,0.79503,0.32402,2.23205,0.99005,0.90249,0.00190383,0.00190383,0.00190383
19,195.574,2.06659,0.84493,0.80613,0.73488,0.64651,0.67555,0.16422,2.90118,1.08959,0.91589,0.00189817,0.00189817,0.00189817
20,205.72,2.07846,0.84817,0.80026,0.71684,0.66888,0.67779,0.21224,2.66622,0.9691,0.91135,0.00189251,0.00189251,0.00189251
21,215.888,2.10104,0.8444,0.80357,0.43634,0.39885,0.27577,0.05087,3.40431,1.73268,0.93647,0.00188686,0.00188686,0.00188686
22,226.036,2.02151,0.8328,0.79524,0.75651,0.62182,0.68424,0.20166,2.78125,1.00108,0.91281,0.0018812,0.0018812,0.0018812
23,236.189,1.94862,0.81668,0.79175,0.7137,0.47372,0.45496,0.1109,2.93874,1.78262,0.92538,0.00187554,0.00187554,0.00187554
24,246.342,1.97544,0.82758,0.79519,0.85199,0.55946,0.62377,0.2016,2.39798,2.46783,0.90407,0.00186989,0.00186989,0.00186989
25,256.49,1.94722,0.81072,0.79735,0.77476,0.74514,0.79934,0.29249,2.40531,0.88381,0.90877,0.00186423,0.00186423,0.00186423
