epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0279,2.78155,2.78106,0.97078,0.25757,0.73722,0.23146,0.0692,2.45891,12.8595,0.92865,0.000657895,0.000657895,0.000657895
2,41.7326,2.14584,1.08894,0.87801,0.8215,0.79191,0.78891,0.24716,2.42145,1.39764,0.92125,0.00132325,0.00132325,0.00132325
3,62.5037,2.23362,1.27017,0.89058,0.24474,0.32757,0.1063,0.04642,2.65296,70.5401,1.27394,0.00198729,0.00198729,0.00198729
4,83.1995,2.38343,1.40988,0.90205,0.06882,0.24478,0.03026,0.00891,3.36326,39.3658,1.43405,0.00199406,0.00199406,0.00199406
5,103.914,2.30376,1.04163,0.88838,0.79675,0.7509,0.79724,0.25724,2.23664,1.24436,0.89381,0.00199208,0.00199208,0.00199208
6,124.652,2.18917,1.02764,0.88532,0.91733,0.89201,0.92914,0.41566,2.09594,0.8804,0.88348,0.0019901,0.0019901,0.0019901
7,145.373,2.04537,0.92066,0.86595,0.89213,0.8336,0.8766,0.32286,2.29078,1.08384,0.89933,0.00198812,0.00198812,0.00198812
8,166.089,2.13588,1.0439,0.87831,0.8623,0.7473,0.85535,0.4147,1.89346,1.27563,0.86403,0.00198614,0.00198614,0.00198614
9,186.752,1.9582,1.01202,0.85588,0.89001,0.72241,0.81429,0.33262,2.12946,1.14877,0.86685,0.00198416,0.00198416,0.00198416
10,207.423,1.94684,0.88717,0.852,0.91193,0.88769,0.9216,0.43117,1.78696,0.80853,0.83515,0.00198218,0.00198218,0.00198218
11,228.095,1.93682,0.89583,0.85929,0.92606,0.91978,0.93543,0.44879,1.7633,0.77891,0.836,0.0019802,0.0019802,0.0019802
12,248.997,1.90177,0.8653,0.85906,0.9112,0.91001,0.92831,0.46366,1.77037,0.79034,0.84146,0.00197822,0.00197822,0.00197822
13,269.844,1.86061,0.83023,0.83955,0.72162,0.67387,0.64534,0.15419,2.51951,1.3065,0.90338,0.00197624,0.00197624,0.00197624
14,290.575,1.91259,0.86997,0.85496,0.53634,0.53799,0.44144,0.06451,3.19813,1.53211,1.02015,0.00197426,0.00197426,0.00197426
15,311.235,1.93932,0.91548,0.85687,0.84203,0.81281,0.82583,0.27967,2.17134,1.03347,0.9121,0.00197228,0.00197228,0.00197228
16,331.894,1.91706,0.91152,0.8514,0.60683,0.50324,0.47186,0.0788,3.17709,1.41802,0.97564,0.0019703,0.0019703,0.0019703
17,352.555,1.90649,0.88868,0.85091,0.82353,0.81641,0.80714,0.24509,2.21492,1.08512,0.87088,0.00196832,0.00196832,0.00196832
18,373.118,1.81706,0.88352,0.8447,0.76331,0.68683,0.7218,0.1723,2.62675,1.1937,0.90333,0.00196634,0.00196634,0.00196634
19,393.699,1.79186,0.82099,0.84091,0.7732,0.72406,0.76774,0.19394,2.51477,1.19811,0.89522,0.00196436,0.00196436,0.00196436
20,414.36,1.80229,0.84645,0.84002,0.75865,0.50014,0.61317,0.15146,2.66048,1.93843,0.92933,0.00196238,0.00196238,0.00196238
21,435.02,1.9145,0.85416,0.84946,0.89885,0.85088,0.89829,0.38447,1.85275,0.92387,0.83964,0.0019604,0.0019604,0.0019604
22,455.614,1.83189,0.84272,0.83672,0.92489,0.87473,0.92657,0.52115,1.5896,0.78084,0.83046,0.00195842,0.00195842,0.00195842
23,476.385,1.79551,0.82406,0.84521,0.88479,0.69042,0.80768,0.33531,2.21335,1.14305,0.87962,0.00195644,0.00195644,0.00195644
24,497.021,1.78206,0.80115,0.84522,0.93137,0.84449,0.91053,0.44877,1.95225,0.89944,0.86475,0.00195446,0.00195446,0.00195446
25,517.8,1.74121,0.79896,0.83695,0.9212,0.90903,0.93538,0.46861,1.73341,0.7925,0.83362,0.00195248,0.00195248,0.00195248
26,538.375,1.79984,0.80693,0.85032,0.91165,0.77264,0.86678,0.39142,1.9362,1.06441,0.85314,0.0019505,0.0019505,0.0019505
27,558.962,1.85262,0.85024,0.84542,0.93724,0.90929,0.94011,0.50791,1.65276,0.75984,0.8311,0.00194852,0.00194852,0.00194852
28,579.598,1.76304,0.85841,0.84853,0.90564,0.83729,0.89904,0.36168,1.98583,0.9234,0.85263,0.00194654,0.00194654,0.00194654
29,600.251,1.7694,0.79255,0.84568,0.87371,0.79689,0.853,0.31327,2.10658,1.19161,0.87053,0.00194456,0.00194456,0.00194456
30,620.864,1.73228,0.81216,0.84481,0.85616,0.7149,0.79727,0.28687,2.29405,1.45693,0.89674,0.00194258,0.00194258,0.00194258
31,641.52,1.67519,0.78734,0.83498,0.93313,0.88405,0.91993,0.41222,1.81546,0.83171,0.84319,0.0019406,0.0019406,0.0019406
32,662.166,1.70475,0.79474,0.84069,0.91547,0.88106,0.92545,0.43591,1.79563,0.84714,0.84501,0.00193862,0.00193862,0.00193862
33,682.769,1.70186,0.78519,0.8405,0.67167,0.52052,0.52413,0.08251,3.14821,1.71646,0.96531,0.00193664,0.00193664,0.00193664
34,703.375,1.69113,0.79734,0.8327,0.92762,0.85385,0.92005,0.41715,1.79559,0.88287,0.83848,0.00193466,0.00193466,0.00193466
35,724.011,1.74905,0.80604,0.83688,0.79165,0.71778,0.76067,0.21969,2.43834,1.03211,0.89504,0.00193268,0.00193268,0.00193268
36,744.612,1.76095,0.81321,0.83219,0.86751,0.81713,0.85166,0.22775,2.46656,1.01226,0.89198,0.0019307,0.0019307,0.0019307
37,765.175,1.66012,0.77708,0.83526,0.81332,0.54263,0.68092,0.21498,2.59229,1.88047,0.95356,0.00192872,0.00192872,0.00192872
38,785.848,1.76559,0.81041,0.84572,0.73826,0.5378,0.62027,0.20453,2.48178,1.69075,0.95428,0.00192674,0.00192674,0.00192674
39,806.397,1.6623,0.803,0.82809,0.61747,0.5183,0.51615,0.09834,3.17243,1.53251,1.05862,0.00192476,0.00192476,0.00192476
40,827.048,1.67078,0.80077,0.83501,0.60844,0.49112,0.49107,0.10973,3.03174,1.12019,0.94145,0.00192278,0.00192278,0.00192278
41,847.655,1.74378,0.80777,0.83284,0.93673,0.91649,0.95341,0.51988,1.6562,0.77122,0.83466,0.0019208,0.0019208,0.0019208
42,868.434,1.73912,0.8238,0.8432,0.3192,0.36501,0.19546,0.0322,3.482,1.43636,0.99936,0.00191882,0.00191882,0.00191882
43,889.001,1.69326,0.80233,0.83085,0.92722,0.91721,0.94429,0.49742,1.64837,0.76044,0.82924,0.00191684,0.00191684,0.00191684
44,909.689,1.62799,0.75933,0.83671,0.93617,0.86586,0.93226,0.4695,1.72739,0.81332,0.83792,0.00191486,0.00191486,0.00191486
45,930.271,1.66783,0.78431,0.83288,0.92439,0.90353,0.9355,0.4249,1.81951,0.81606,0.84001,0.00191288,0.00191288,0.00191288
46,950.961,1.70169,0.79661,0.83847,0.92822,0.89273,0.93486,0.44324,1.8564,0.83263,0.84626,0.0019109,0.0019109,0.0019109
47,971.555,1.68828,0.77925,0.83708,0.93561,0.91008,0.94712,0.47022,1.65488,0.76824,0.82853,0.00190892,0.00190892,0.00190892
48,992.168,1.70903,0.79367,0.83696,0.91948,0.9125,0.95249,0.53728,1.54635,0.73991,0.82334,0.00190694,0.00190694,0.00190694
49,1012.91,1.69832,0.77407,0.8335,0.92402,0.91145,0.9402,0.48723,1.62897,0.75352,0.82785,0.00190496,0.00190496,0.00190496
50,1033.56,1.63986,0.75557,0.83234,0.85449,0.84017,0.88617,0.28371,2.33671,0.97308,0.8769,0.00190298,0.00190298,0.00190298
51,1054.26,1.61161,0.73814,0.82868,0.87878,0.80376,0.88921,0.32875,2.10364,0.96031,0.85729,0.001901,0.001901,0.001901
52,1074.93,1.58775,0.72126,0.8308,0.94167,0.88335,0.94292,0.44892,2.02409,0.8465,0.86307,0.00189902,0.00189902,0.00189902
53,1095.62,1.58784,0.7392,0.82518,0.86607,0.85665,0.89834,0.29568,2.30901,0.98103,0.87702,0.00189704,0.00189704,0.00189704
54,1116.22,1.69514,0.78428,0.83445,0.6871,0.7149,0.70003,0.14948,2.839,1.14134,0.92122,0.00189506,0.00189506,0.00189506
55,1136.76,1.60737,0.7764,0.82384,0.86041,0.75441,0.80774,0.15606,2.81744,1.07297,0.92424,0.00189308,0.00189308,0.00189308
