epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.494,2.98886,4.69544,0.86881,0.05211,0.29427,0.03225,0.00704,2.94948,62.3605,0.98326,0.00066055,0.00066055,0.00066055
2,52.3472,2.84695,1.76769,0.85343,0.57029,0.37695,0.37509,0.09949,nan,nan,nan,0.00132065,0.00132065,0.00132065
3,78.3103,2.62463,1.35503,0.85513,0.00458,0.01432,0.00211,0.00074,nan,nan,nan,0.00197414,0.00197414,0.00197414
4,104.065,2.70693,1.56529,0.84922,0.00359,0.06771,0.00192,0.00073,nan,nan,nan,0.0019703,0.0019703,0.0019703
5,129.766,2.75043,1.65983,0.84317,0.65978,0.45833,0.49607,0.12778,2.32235,44.789,0.82056,0.0019604,0.0019604,0.0019604
6,155.844,2.53581,1.23361,0.83654,0.59174,0.44161,0.37259,0.08978,nan,nan,nan,0.0019505,0.0019505,0.0019505
7,181.533,2.57164,1.38055,0.84093,0.7022,0.47896,0.53083,0.17124,2.33529,1.39649,0.80459,0.0019406,0.0019406,0.0019406
8,207.899,2.35784,1.2924,0.83899,0.00049,0.00391,0.00017,5e-05,4.73371,inf,0.97228,0.0019307,0.0019307,0.0019307
9,234.6,2.36476,1.116,0.83125,0.11186,0.06966,0.02284,0.00474,3.6419,11.625,0.87715,0.0019208,0.0019208,0.0019208
10,260.706,2.59047,1.32221,0.84558,0.80161,0.44719,0.5473,0.17481,2.29548,1.32067,0.80711,0.0019109,0.0019109,0.0019109
11,287.244,2.42532,1.14414,0.83074,0.70952,0.70052,0.71871,0.27005,1.86292,3.28237,0.78902,0.001901,0.001901,0.001901
12,313.688,2.28669,1.11156,0.83005,0.60223,0.43359,0.41769,0.11791,2.3919,2.95841,0.80832,0.0018911,0.0018911,0.0018911
13,339.57,2.22429,1.07951,0.82587,0.7193,0.47201,0.52493,0.15938,2.40176,1.49936,0.80947,0.0018812,0.0018812,0.0018812
14,364.983,2.21,1.03976,0.82654,0.73664,0.65625,0.73551,0.27256,1.95844,1.67476,0.7931,0.0018713,0.0018713,0.0018713
15,390.637,2.1575,1.01721,0.80892,0.79895,0.71159,0.73359,0.25785,2.10397,1.32152,0.79471,0.0018614,0.0018614,0.0018614
16,416.023,2.12618,0.99338,0.82727,0.76805,0.52083,0.6029,0.24243,2.01264,1.13937,0.79205,0.0018515,0.0018515,0.0018515
17,442.192,2.11294,0.91463,0.81873,0.75813,0.56706,0.61093,0.19265,2.28958,1.01045,0.7993,0.0018416,0.0018416,0.0018416
18,468.417,2.07009,0.95476,0.80873,0.50925,0.34049,0.41481,0.10777,2.62838,2.63087,0.81422,0.0018317,0.0018317,0.0018317
19,495.126,2.17058,1.02288,0.81689,0.52852,0.41891,0.3924,0.09462,2.70367,4.70702,0.81384,0.0018218,0.0018218,0.0018218
20,521.177,2.10629,0.95742,0.82126,0.85492,0.82357,0.85933,0.3423,1.79338,0.94011,0.78746,0.0018119,0.0018119,0.0018119
21,547.156,2.02126,0.8785,0.82052,0.66738,0.55143,0.53002,0.13165,2.66104,1.06119,0.81414,0.001802,0.001802,0.001802
22,572.752,2.08757,0.96236,0.82301,0.55578,0.29161,0.31965,0.0864,2.92174,1.39921,0.82165,0.0017921,0.0017921,0.0017921
23,598.112,1.99729,0.91302,0.80984,0.82304,0.79031,0.84888,0.37553,1.64966,1.67133,0.78101,0.0017822,0.0017822,0.0017822
24,623.77,2.04803,1.0031,0.82111,0.79687,0.73809,0.76304,0.2678,2.01753,1.27169,0.79008,0.0017723,0.0017723,0.0017723
25,650.209,2.0326,0.92943,0.81233,0.67957,0.58854,0.64251,0.21078,2.10914,3.13585,0.79519,0.0017624,0.0017624,0.0017624
26,676.259,2.02864,0.92916,0.81914,0.83036,0.71354,0.78286,0.33229,1.77061,1.14293,0.78197,0.0017525,0.0017525,0.0017525
27,703.068,1.99118,0.90415,0.81955,0.7686,0.73047,0.78478,0.31359,1.75038,1.72531,0.78206,0.0017426,0.0017426,0.0017426
28,728.615,2.07658,0.87185,0.81557,0.71753,0.58724,0.57565,0.15308,2.56777,1.13677,0.80787,0.0017327,0.0017327,0.0017327
29,754.946,2.04624,0.91144,0.8192,0.5303,0.46745,0.44965,0.12197,2.48116,3.21037,0.80628,0.0017228,0.0017228,0.0017228
30,780.986,2.00189,0.9341,0.81514,0.84291,0.63477,0.75506,0.25452,2.1897,0.81216,0.79313,0.0017129,0.0017129,0.0017129
31,806.714,2.00197,0.94072,0.80904,0.50162,0.33203,0.3236,0.07025,2.9472,1.77821,0.82702,0.001703,0.001703,0.001703
32,832.604,1.97194,0.87447,0.81256,0.83636,0.78776,0.84236,0.36162,1.71795,0.94231,0.78516,0.0016931,0.0016931,0.0016931
33,858.307,1.90689,0.86172,0.81194,0.7546,0.57055,0.63988,0.22106,2.26949,0.88565,0.79768,0.0016832,0.0016832,0.0016832
34,884.084,1.94026,0.86849,0.80995,0.76972,0.5651,0.65178,0.22452,2.21242,0.91653,0.79769,0.0016733,0.0016733,0.0016733
35,910.494,1.86118,0.87132,0.80369,0.81862,0.53184,0.6825,0.20601,2.37648,1.03955,0.79982,0.0016634,0.0016634,0.0016634
36,936.476,2.00178,0.85388,0.819,0.67931,0.47917,0.50542,0.12567,2.66022,0.97605,0.81044,0.0016535,0.0016535,0.0016535
37,962.156,2.05097,0.96026,0.81715,0.80939,0.6888,0.74934,0.25756,1.96412,1.0524,0.78605,0.0016436,0.0016436,0.0016436
38,987.605,1.93266,0.81983,0.80884,0.72116,0.47315,0.56334,0.16282,2.44791,0.93524,0.80756,0.0016337,0.0016337,0.0016337
39,1013.05,1.95224,0.92226,0.81092,0.78348,0.64323,0.6834,0.21419,2.28492,1.18957,0.80219,0.0016238,0.0016238,0.0016238
40,1038.54,1.95803,0.89688,0.80655,0.7426,0.52217,0.57492,0.1478,2.56287,1.13939,0.81146,0.0016139,0.0016139,0.0016139
41,1063.97,1.82172,0.82463,0.8051,0.84834,0.65553,0.75545,0.2724,2.04492,0.92242,0.79331,0.001604,0.001604,0.001604
42,1089.37,1.89779,0.83637,0.80829,0.83101,0.75554,0.8058,0.30471,1.92067,0.80165,0.78835,0.0015941,0.0015941,0.0015941
43,1114.94,1.88361,0.8022,0.80844,0.70216,0.44204,0.56084,0.14238,2.6718,1.15587,0.81561,0.0015842,0.0015842,0.0015842
44,1140.42,1.86164,0.77556,0.80749,0.82747,0.82161,0.84715,0.34966,1.76971,1.20557,0.78437,0.0015743,0.0015743,0.0015743
45,1165.82,1.8314,0.85069,0.81042,0.83944,0.60927,0.72844,0.26772,2.15651,0.88707,0.79535,0.0015644,0.0015644,0.0015644
46,1191.84,1.87465,0.78971,0.81081,0.67162,0.52996,0.53758,0.12522,2.68187,1.11315,0.81372,0.0015545,0.0015545,0.0015545
47,1218.57,1.87876,0.82153,0.81116,0.82073,0.75456,0.80958,0.35126,1.74763,1.40466,0.78404,0.0015446,0.0015446,0.0015446
