epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2343,2.78155,2.78106,0.97078,0.25757,0.73722,0.23146,0.0692,2.45891,12.8595,0.92865,0.000657895,0.000657895,0.000657895
2,42.0121,2.15673,1.09671,0.87782,0.79427,0.83945,0.77616,0.2643,2.30862,1.24707,0.91321,0.00131145,0.00131145,0.00131145
3,62.937,2.07556,1.25578,0.87358,0.42267,0.74298,0.37517,0.15469,2.1937,3.8626,0.89774,0.0019518,0.0019518,0.0019518
4,83.6946,2.19279,1.08101,0.87238,0.80083,0.66739,0.72377,0.23325,2.29142,1.61684,0.89791,0.0019406,0.0019406,0.0019406
5,104.511,2.17002,1.03769,0.88187,0.72771,0.67315,0.67033,0.1696,2.59098,1.09434,0.91215,0.0019208,0.0019208,0.0019208
6,125.27,2.11653,1.07764,0.87952,0.84864,0.7689,0.80642,0.30354,2.10656,1.00658,0.87956,0.001901,0.001901,0.001901
7,146.092,1.99788,0.98479,0.85682,0.92275,0.89993,0.91067,0.41482,1.87737,0.87704,0.85266,0.0018812,0.0018812,0.0018812
8,167.039,2.07114,0.97206,0.868,0.73499,0.1218,0.13764,0.045,3.9359,6.14552,1.32213,0.0018614,0.0018614,0.0018614
9,187.82,1.9274,0.95472,0.85521,0.9044,0.78186,0.85639,0.37876,1.89091,1.00182,0.87106,0.0018416,0.0018416,0.0018416
10,208.733,1.86743,0.86447,0.84827,0.88109,0.79122,0.85257,0.29749,2.1334,1.06839,0.86509,0.0018218,0.0018218,0.0018218
11,241.035,1.88294,0.90331,0.85294,0.73379,0.66379,0.70517,0.22641,2.3576,1.51216,0.89499,0.001802,0.001802,0.001802
12,261.674,1.86375,0.87366,0.85783,0.70978,0.53351,0.55604,0.1326,2.82214,1.93755,0.94616,0.0017822,0.0017822,0.0017822
13,284.045,1.84746,0.86441,0.8401,0.80864,0.74535,0.73222,0.20313,2.33449,1.08709,0.87714,0.0017624,0.0017624,0.0017624
14,308.823,1.85827,0.85468,0.84952,0.7782,0.71989,0.72818,0.1649,2.6627,1.15033,0.91287,0.0017426,0.0017426,0.0017426
15,335.234,1.70975,0.82307,0.83955,0.91107,0.81869,0.88648,0.39627,1.82705,0.89781,0.83794,0.0017228,0.0017228,0.0017228
16,357.437,1.82546,0.85255,0.84271,0.91589,0.89417,0.92023,0.43027,1.77876,0.84621,0.8365,0.001703,0.001703,0.001703
17,378.597,1.77584,0.83483,0.84115,0.70192,0.60524,0.58875,0.13278,2.85519,1.60472,0.94256,0.0016832,0.0016832,0.0016832
18,404.91,1.84858,0.85575,0.85164,0.94205,0.8894,0.94755,0.43887,1.97001,0.85389,0.86103,0.0016634,0.0016634,0.0016634
19,445.539,1.77546,0.86628,0.83884,0.9039,0.89345,0.90092,0.29597,2.13915,0.91712,0.86022,0.0016436,0.0016436,0.0016436
20,492.88,1.69828,0.79248,0.83268,0.62996,0.12095,0.12733,0.04478,4.1634,4.31631,1.48468,0.0016238,0.0016238,0.0016238
