epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1322,3.22309,4.17349,0.90035,0,0,0,0,nan,nan,nan,0.000657895,0.000657895,0.000657895
2,36.1929,2.63583,1.38662,0.83715,0.00864,0.10079,0.00476,0.0017,3.04368,inf,0.97544,0.00131145,0.00131145,0.00131145
3,54.4434,2.88735,1.48089,0.84673,0.38033,0.38229,0.27118,0.05952,3.27399,2.88101,0.97129,0.0019518,0.0019518,0.0019518
4,72.6866,2.76195,1.21871,0.84314,0.5499,0.51332,0.52509,0.16643,2.55607,1.4971,0.93004,0.0019406,0.0019406,0.0019406
5,91.0515,2.52038,1.18975,0.82489,0.50916,0.47444,0.39005,0.1206,2.93441,1.81874,0.93155,0.0019208,0.0019208,0.0019208
6,109.021,2.44547,1.2387,0.81944,0.01368,0.14543,0.00784,0.00201,3.80852,107.634,0.96784,0.001901,0.001901,0.001901
7,126.807,2.37504,1.05393,0.81733,0.16469,0.14903,0.05038,0.00939,4.02285,2.04114,0.96142,0.0018812,0.0018812,0.0018812
8,144.629,2.36363,1.0202,0.81894,0.73529,0.64147,0.66293,0.17951,2.65561,1.31185,0.92528,0.0018614,0.0018614,0.0018614
9,162.708,2.50512,1.06775,0.82744,0.49145,0.49745,0.42072,0.10956,2.95623,1.70887,0.92569,0.0018416,0.0018416,0.0018416
10,180.532,2.30937,0.97815,0.81574,0.59303,0.49388,0.464,0.1332,2.93016,1.2289,0.91346,0.0018218,0.0018218,0.0018218
11,198.642,2.23869,0.97156,0.81155,0.24662,0.20158,0.12363,0.02577,3.82319,1.60292,0.95613,0.001802,0.001802,0.001802
12,216.571,2.23789,0.93214,0.80767,0.71226,0.64513,0.66254,0.21313,2.66404,0.98263,0.91788,0.0017822,0.0017822,0.0017822
13,234.771,2.22532,0.93043,0.80881,0.33628,0.38373,0.25635,0.06721,3.74847,1.83859,0.96211,0.0017624,0.0017624,0.0017624
14,252.612,2.16556,0.97083,0.80389,0.22989,0.27358,0.15709,0.03518,3.95349,1.80724,0.95632,0.0017426,0.0017426,0.0017426
