epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1082,3.25882,6.69219,0.92153,0.13224,0.50977,0.09376,0.02338,2.6884,573.903,0.84697,0.00066055,0.00066055,0.00066055
2,51.8628,3.11231,1.91903,0.89279,0.15434,0.1875,0.04964,0.01533,nan,nan,nan,0.00132065,0.00132065,0.00132065
3,77.5472,3.04159,1.74656,0.89679,0.4654,0.37109,0.2718,0.06072,2.85976,52.7028,0.80867,0.00197414,0.00197414,0.00197414
4,103.567,3.00438,1.70942,0.86989,0.28651,0.22721,0.16907,0.03904,3.06614,2.23093,0.82865,0.0019703,0.0019703,0.0019703
5,129.241,2.9133,1.62461,0.87286,0.05823,0.01953,0.00614,0.00108,3.44446,41.2,0.80642,0.0019604,0.0019604,0.0019604
6,154.878,2.89119,1.51318,0.86143,0.61783,0.49609,0.48167,0.12927,2.49086,2.2907,0.809,0.0019505,0.0019505,0.0019505
7,180.779,2.73563,1.47633,0.83867,0.27689,0.20508,0.14228,0.02489,3.15154,26.8479,0.82898,0.0019406,0.0019406,0.0019406
8,206.439,2.67713,1.37377,0.85513,0.72739,0.53711,0.6127,0.192,2.22606,1.29044,0.78438,0.0019307,0.0019307,0.0019307
9,232.405,2.58512,1.29862,0.83785,0.6249,0.59961,0.53103,0.10562,nan,nan,nan,0.0019208,0.0019208,0.0019208
10,258.223,2.61341,1.4068,0.85624,0.53829,0.21549,0.25214,0.04568,2.97151,1.51741,0.81107,0.0019109,0.0019109,0.0019109
11,283.9,2.66395,1.3177,0.8542,0.56921,0.32878,0.3302,0.10413,2.45494,3.21641,0.79495,0.001901,0.001901,0.001901
12,309.593,2.60326,1.3536,0.84368,0.69188,0.41372,0.42329,0.09708,2.52797,5.5382,0.79568,0.0018911,0.0018911,0.0018911
13,335.258,2.65347,1.28548,0.84707,0.04237,0.04883,0.00741,0.00149,3.74516,55.2073,0.84238,0.0018812,0.0018812,0.0018812
14,360.948,2.50091,1.25594,0.83318,0.77994,0.60807,0.70728,0.26425,2.05643,1.28974,0.7773,0.0018713,0.0018713,0.0018713
15,386.898,2.46333,1.24921,0.82749,0.74747,0.57617,0.60872,0.19281,2.20092,1.46272,0.78077,0.0018614,0.0018614,0.0018614
16,412.682,2.44578,1.15122,0.84004,0.48546,0.20117,0.19849,0.04094,2.83283,12.5291,0.8033,0.0018515,0.0018515,0.0018515
17,438.367,2.45465,1.20111,0.8393,0.7215,0.62044,0.66309,0.19763,2.2577,1.02677,0.77842,0.0018416,0.0018416,0.0018416
18,463.98,2.39115,1.28445,0.80975,0.76127,0.68685,0.69558,0.20797,2.27529,1.40852,0.78387,0.0018317,0.0018317,0.0018317
