epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,17.122,1.36806,0.78713,0.27918,0.36045,0.32161,0.22198,0.0437,0.93892,0.33952,0.06189,0.000657534,0.000657534,0.000657534
2,34.2543,0.94034,0.44881,0.05239,0.70771,0.62896,0.65964,0.19439,0.64568,0.4602,0.0276,0.00131896,0.00131896,0.00131896
3,51.454,0.83882,0.46027,0.03855,0.62869,0.55013,0.4999,0.11129,0.84288,0.39731,0.08015,0.0019751,0.0019751,0.0019751
4,69.2383,0.88256,0.4327,0.05005,0.7501,0.72331,0.69839,0.16621,0.72963,0.41693,0.03987,0.00197624,0.00197624,0.00197624
5,86.3545,0.92791,0.45968,0.04721,0.8168,0.77539,0.81001,0.25698,0.62492,0.58576,0.02638,0.00196832,0.00196832,0.00196832
6,103.679,0.83334,0.45467,0.03958,0.77755,0.70117,0.68803,0.20512,0.74538,0.43565,0.0541,0.0019604,0.0019604,0.0019604
7,120.524,0.81887,0.47777,0.0416,0.83464,0.79297,0.80598,0.25509,0.62852,0.94664,0.0271,0.00195248,0.00195248,0.00195248
8,138.542,0.81374,0.45517,0.04292,0.75406,0.69531,0.71207,0.19389,0.70333,0.38832,0.03074,0.00194456,0.00194456,0.00194456
9,156.505,0.81033,0.45656,0.03439,0.90146,0.87044,0.90113,0.42466,0.49016,0.45581,0.01865,0.00193664,0.00193664,0.00193664
10,174.755,0.88098,0.43771,0.03764,0.88452,0.83073,0.87653,0.35428,0.56281,0.402,0.02445,0.00192872,0.00192872,0.00192872
11,192.584,0.80882,0.45255,0.03795,0.84456,0.75846,0.81653,0.27074,0.60074,0.40834,0.02411,0.0019208,0.0019208,0.0019208
12,210.693,0.79813,0.43541,0.04011,0.89966,0.86392,0.9046,0.41113,0.49593,0.39082,0.02079,0.00191288,0.00191288,0.00191288
13,228.659,0.82813,0.43383,0.03755,0.86807,0.85026,0.86569,0.33947,0.54858,0.41221,0.01794,0.00190496,0.00190496,0.00190496
14,246.826,0.76733,0.43808,0.03022,0.88492,0.85605,0.88389,0.36827,0.52135,0.40771,0.018,0.00189704,0.00189704,0.00189704
15,264.891,0.79005,0.43284,0.03479,0.88752,0.84831,0.89048,0.38868,0.5189,0.37528,0.02038,0.00188912,0.00188912,0.00188912
16,282.979,0.74913,0.43742,0.03693,0.46532,0.43555,0.29361,0.03776,0.8428,0.30565,0.03783,0.0018812,0.0018812,0.0018812
17,300.044,0.76472,0.44365,0.02917,0.62364,0.61003,0.52257,0.10003,0.75025,0.35065,0.03209,0.00187328,0.00187328,0.00187328
18,317.152,0.70797,0.4417,0.0277,0.71302,0.66146,0.61258,0.13137,0.75467,0.34419,0.03199,0.00186536,0.00186536,0.00186536
19,334.037,0.75438,0.43902,0.03141,0.80082,0.77669,0.76114,0.20322,0.65875,0.38147,0.02725,0.00185744,0.00185744,0.00185744
20,350.866,0.69619,0.43545,0.02997,0.79414,0.74089,0.72271,0.17539,0.67904,0.36105,0.02851,0.00184952,0.00184952,0.00184952
21,367.784,0.7224,0.4421,0.02568,0.82232,0.79102,0.79017,0.21976,0.64132,0.36415,0.02522,0.0018416,0.0018416,0.0018416
22,384.625,0.69483,0.44157,0.02703,0.72054,0.67481,0.64119,0.13976,0.72866,0.36108,0.03122,0.00183368,0.00183368,0.00183368
23,401.555,0.64653,0.44063,0.02283,0.92532,0.91153,0.93544,0.45769,0.45514,0.43067,0.01833,0.00182576,0.00182576,0.00182576
24,418.768,0.69338,0.44968,0.02651,0.90881,0.87595,0.90582,0.37198,0.53564,0.39394,0.01995,0.00181784,0.00181784,0.00181784
