epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.703,2.03933,1.51187,1.25253,0.88291,0.78437,0.85768,0.40512,1.67344,1.44173,0.94689,0.00333002,0.00333002,0.00333002
2,344.553,1.87138,1.09233,1.17284,0.89851,0.82449,0.86761,0.47104,1.52089,1.138,0.88026,0.00659739,0.00659739,0.00659739
3,513.447,1.88785,1.16556,1.18558,0.88232,0.85468,0.88172,0.42294,1.62073,1.80837,0.93515,0.00979876,0.00979876,0.00979876
4,681.848,1.83114,1.10326,1.17891,0.42141,0.21292,0.17075,0.03978,3.4195,2.65431,1.78646,0.009703,0.009703,0.009703
5,850.178,1.73847,1.01154,1.1236,0.87871,0.85392,0.91253,0.47702,1.57239,0.96133,0.89988,0.009604,0.009604,0.009604
6,1018.82,1.67005,0.93761,1.10689,0.9203,0.75404,0.85249,0.47178,1.55954,1.14041,0.90759,0.009505,0.009505,0.009505
7,1187.32,1.62335,0.89773,1.09044,0.92164,0.84266,0.90931,0.3561,2.03363,1.07258,1.10167,0.009406,0.009406,0.009406
8,1355.72,1.58882,0.8694,1.06991,0.9153,0.87648,0.93312,0.5469,1.46393,0.91328,0.87107,0.009307,0.009307,0.009307
9,1524.18,1.53476,0.84824,1.05419,0.90932,0.91063,0.9488,0.50861,1.5624,0.95036,0.89618,0.009208,0.009208,0.009208
10,1692.74,1.5515,0.85012,1.06264,0.91876,0.91732,0.95132,0.58003,1.38039,1.14727,0.83451,0.009109,0.009109,0.009109
11,1861.31,1.52418,0.81977,1.05714,0.91198,0.91363,0.94617,0.53991,1.49418,1.12322,0.88879,0.00901,0.00901,0.00901
12,2029.63,1.50311,0.80548,1.03997,0.91741,0.8801,0.93511,0.57415,1.36146,0.87218,0.81387,0.008911,0.008911,0.008911
13,2198.14,1.47169,0.79041,1.02906,0.89399,0.89035,0.92916,0.48473,1.56217,0.93894,0.88036,0.008812,0.008812,0.008812
14,2366.6,1.47591,0.79826,1.03399,0.91418,0.88321,0.93894,0.58827,1.33027,0.778,0.79736,0.008713,0.008713,0.008713
15,2535.15,1.44001,0.77744,1.01717,0.88921,0.84088,0.89901,0.37093,2.02706,0.953,0.98394,0.008614,0.008614,0.008614
16,2703.68,1.41298,0.74268,1.01495,0.89752,0.87983,0.93097,0.46368,1.66556,0.86692,0.8816,0.008515,0.008515,0.008515
17,2872.77,1.44876,0.77985,1.02786,0.90894,0.89587,0.93401,0.46605,1.71664,0.9278,0.89013,0.008416,0.008416,0.008416
18,3041.71,1.41247,0.74721,1.01619,0.90789,0.86606,0.93206,0.54097,1.51317,0.84544,0.83215,0.008317,0.008317,0.008317
19,3210.58,1.40938,0.75789,1.01006,0.92364,0.88119,0.93587,0.4779,1.71398,0.84828,0.8887,0.008218,0.008218,0.008218
20,3379.37,1.38096,0.72129,1.00647,0.92775,0.89202,0.94707,0.56505,1.45851,0.82406,0.81436,0.008119,0.008119,0.008119
21,3548.25,1.37658,0.76154,0.99897,0.91001,0.88885,0.93895,0.57647,1.35239,0.79435,0.79594,0.00802,0.00802,0.00802
22,3717.21,1.36212,0.72175,1.0013,0.92197,0.87345,0.9347,0.49852,1.5631,0.86299,0.85282,0.007921,0.007921,0.007921
23,3886.19,1.36473,0.74085,1.00102,0.89711,0.87758,0.92086,0.40989,1.88973,0.86772,0.93608,0.007822,0.007822,0.007822
24,4055.08,1.3227,0.71895,0.98807,0.90837,0.90837,0.94448,0.50414,1.65738,0.8386,0.86821,0.007723,0.007723,0.007723
25,4224.06,1.31742,0.70876,0.98418,0.91586,0.89511,0.94327,0.48991,1.71378,0.77342,0.87573,0.007624,0.007624,0.007624
